pdv,idregion,idciudad,canal,actividad
PDV 47743,3,1277,CANAL 3,S
PDV 50374,3,1409,CANAL 5,S
PDV 48874,2,1561,CANAL 3,S
PDV 47765,2,1199,CANAL 3,S
PDV 48001,2,24,CANAL 3,S
PDV 93851,2,24,CANAL 3,S
PDV 91802,3,1277,CANAL 3,S
PDV 91804,2,1193,CANAL 3,S
PDV 92596,2,24,CANAL 3,S
PDV 92597,2,1157,CANAL 3,S
PDV 92595,2,24,CANAL 3,S
PDV 51035,3,1409,CANAL 3,S
PDV 50066,3,1425,CANAL 3,S
PDV 49854,2,24,CANAL 3,S
PDV 49991,2,1157,CANAL 3,S
PDV 92158,2,45,CANAL 3,S
PDV 49557,2,24,CANAL 3,S
PDV 61364,2,1197,CANAL 3,S
PDV 50962,2,24,CANAL 3,S
PDV 51173,2,701,CANAL 3,S
PDV 51129,2,1561,CANAL 3,S
PDV 19192,2,1017,CANAL 5,A
PDV 19307,2,24,CANAL 2,C
PDV 19006,2,24,CANAL 2,C
PDV 19038,2,24,CANAL 2,A
PDV 19080,2,24,CANAL 2,B
PDV 19456,2,24,CANAL 2,C
PDV 19420,2,24,CANAL 2,C
PDV 19391,2,24,CANAL 2,C
PDV 19559,2,27,CANAL 2,T
PDV 19560,2,27,CANAL 2,M
PDV 19561,2,27,CANAL 2,C
PDV 19563,2,27,CANAL 2,C
PDV 19564,2,27,CANAL 2,T
PDV 19552,2,27,CANAL 2,F
PDV 19553,2,27,CANAL 2,M
PDV 19554,2,27,CANAL 2,T
PDV 19555,2,27,CANAL 2,V
PDV 19557,2,27,CANAL 2,P
PDV 20111,2,679,CANAL 2,D
PDV 20124,2,24,CANAL 2,C
PDV 20149,2,27,CANAL 1,A
PDV 19885,2,27,CANAL 2,C
PDV 19830,2,27,CANAL 2,F
PDV 19827,2,1477,CANAL 2,R
PDV 19828,2,1477,CANAL 2,C
PDV 19752,2,24,CANAL 2,C
PDV 19769,2,27,CANAL 1,F
PDV 20500,2,1023,CANAL 2,C
PDV 20890,2,1017,CANAL 2,V
PDV 20891,2,24,CANAL 2,C
PDV 20859,2,54,CANAL 2,C
PDV 20811,2,24,CANAL 1,C
PDV 20781,2,27,CANAL 2,V
PDV 20760,2,1017,CANAL 2,F
PDV 20762,2,1017,CANAL 2,P
PDV 50738,2,51,CANAL 5,F
PDV 21562,2,1017,CANAL 1,C
PDV 21676,2,679,CANAL 2,C
PDV 21706,2,24,CANAL 2,C
PDV 21443,2,24,CANAL 2,V
PDV 21508,2,24,CANAL 2,C
PDV 21407,2,27,CANAL 2,C
PDV 21027,2,27,CANAL 2,A
PDV 20993,2,27,CANAL 2,C
PDV 21233,2,1017,CANAL 2,A
PDV 21300,2,24,CANAL 2,A
PDV 22339,2,24,CANAL 2,C
PDV 22310,2,24,CANAL 2,C
PDV 22168,2,679,CANAL 2,C
PDV 39118,2,24,CANAL 2,C
PDV 36494,2,24,CANAL 2,C
PDV 36870,2,1017,CANAL 1,F
PDV 36525,2,24,CANAL 2,C
PDV 37049,2,24,CANAL 2,C
PDV 37281,2,679,CANAL 2,C
PDV 38479,2,24,CANAL 2,S
PDV 36920,2,24,CANAL 2,C
PDV 36969,2,1017,CANAL 1,C
PDV 36971,2,24,CANAL 2,C
PDV 37061,2,27,CANAL 1,C
PDV 36954,2,679,CANAL 1,C
PDV 34280,2,24,CANAL 2,C
PDV 39098,2,24,CANAL 2,C
PDV 40785,2,1193,CANAL 2,C
PDV 38891,2,1149,CANAL 2,A
PDV 34290,2,66,CANAL 2,C
PDV 38097,2,24,CANAL 2,S
PDV 38764,2,24,CANAL 2,S
PDV 38078,2,24,CANAL 2,C
PDV 34314,2,24,CANAL 2,V
PDV 38836,2,1149,CANAL 2,S
PDV 34355,2,24,CANAL 2,C
PDV 38112,2,24,CANAL 2,C
PDV 38095,2,1017,CANAL 2,P
PDV 34305,2,24,CANAL 2,C
PDV 38397,2,24,CANAL 2,S
PDV 38324,2,24,CANAL 2,S
PDV 38340,2,1513,CANAL 2,C
PDV 38315,2,24,CANAL 1,S
PDV 38389,2,24,CANAL 2,S
PDV 38337,2,24,CANAL 2,C
PDV 34364,2,54,CANAL 2,C
PDV 38167,2,1149,CANAL 2,C
PDV 34247,2,27,CANAL 1,F
PDV 39214,2,27,CANAL 1,C
PDV 34362,2,24,CANAL 2,C
PDV 36679,2,24,CANAL 2,C
PDV 38783,2,1149,CANAL 2,S
PDV 39087,2,1149,CANAL 2,C
PDV 38543,2,24,CANAL 2,C
PDV 39469,2,1017,CANAL 2,T
PDV 38832,2,1149,CANAL 1,C
PDV 38968,2,24,CANAL 2,C
PDV 38980,2,1149,CANAL 2,S
PDV 34338,2,24,CANAL 1,C
PDV 38691,2,24,CANAL 2,C
PDV 34281,2,24,CANAL 2,C
PDV 34282,2,24,CANAL 2,C
PDV 34317,2,24,CANAL 2,C
PDV 38275,2,24,CANAL 2,S
PDV 34389,2,66,CANAL 2,C
PDV 38073,2,24,CANAL 2,A
PDV 38297,2,24,CANAL 2,C
PDV 38027,2,1149,CANAL 2,C
PDV 39218,2,24,CANAL 2,S
PDV 38041,2,24,CANAL 2,C
PDV 36778,2,1149,CANAL 2,C
PDV 38153,2,27,CANAL 1,P
PDV 38307,2,1149,CANAL 1,C
PDV 38220,2,24,CANAL 2,C
PDV 38402,2,24,CANAL 2,S
PDV 34394,2,24,CANAL 2,C
PDV 34453,2,24,CANAL 2,C
PDV 38134,2,24,CANAL 2,S
PDV 37954,2,1163,CANAL 2,C
PDV 38263,2,24,CANAL 2,S
PDV 37953,2,24,CANAL 2,S
PDV 38226,2,24,CANAL 2,S
PDV 38135,2,24,CANAL 2,S
PDV 38231,2,24,CANAL 2,S
PDV 37253,2,24,CANAL 2,C
PDV 37254,2,24,CANAL 2,C
PDV 37925,2,1017,CANAL 1,C
PDV 34490,2,40,CANAL 2,C
PDV 2382,2,1115,CANAL 1,D
PDV 2383,2,1115,CANAL 1,D
PDV 2384,2,1115,CANAL 1,D
PDV 2385,2,1115,CANAL 1,D
PDV 38214,2,24,CANAL 2,C
PDV 37659,2,24,CANAL 2,C
PDV 37729,2,24,CANAL 2,D
PDV 37885,2,1017,CANAL 2,C
PDV 37728,2,24,CANAL 2,D
PDV 37252,2,24,CANAL 2,C
PDV 37660,2,24,CANAL 2,C
PDV 37668,2,1149,CANAL 2,C
PDV 37658,2,1149,CANAL 2,C
PDV 37401,2,24,CANAL 2,C
PDV 37586,2,1149,CANAL 2,C
PDV 34532,2,24,CANAL 2,C
PDV 34517,2,24,CANAL 2,V
PDV 37723,2,24,CANAL 2,D
PDV 37267,2,27,CANAL 2,C
PDV 37374,2,24,CANAL 2,C
PDV 37298,2,679,CANAL 2,C
PDV 37702,2,24,CANAL 2,C
PDV 37517,2,24,CANAL 2,D
PDV 37666,2,24,CANAL 2,C
PDV 37522,2,24,CANAL 2,C
PDV 37299,2,24,CANAL 2,C
PDV 37168,2,24,CANAL 2,C
PDV 37169,2,1163,CANAL 2,V
PDV 37884,2,24,CANAL 2,C
PDV 40311,2,24,CANAL 2,V
PDV 37776,2,24,CANAL 2,D
PDV 34569,2,24,CANAL 2,C
PDV 34573,2,24,CANAL 2,C
PDV 37972,2,24,CANAL 2,C
PDV 37868,2,24,CANAL 1,S
PDV 37711,2,24,CANAL 2,C
PDV 37787,2,24,CANAL 2,C
PDV 37815,2,24,CANAL 2,C
PDV 37890,2,24,CANAL 2,C
PDV 33883,2,24,CANAL 2,C
PDV 39740,2,24,CANAL 2,C
PDV 39762,2,24,CANAL 5,C
PDV 33875,2,24,CANAL 2,C
PDV 29288,2,24,CANAL 1,S
PDV 29177,2,50,CANAL 1,C
PDV 29121,2,24,CANAL 1,S
PDV 29134,2,24,CANAL 1,A
PDV 30715,2,24,CANAL 1,F
PDV 30668,2,24,CANAL 1,S
PDV 30598,2,45,CANAL 1,S
PDV 30498,2,24,CANAL 1,T
PDV 30499,2,24,CANAL 1,L
PDV 30436,2,24,CANAL 1,S
PDV 31046,2,24,CANAL 1,C
PDV 30940,2,24,CANAL 1,S
PDV 30219,2,24,CANAL 1,S
PDV 30221,2,24,CANAL 1,S
PDV 30210,2,24,CANAL 1,S
PDV 30207,2,24,CANAL 1,S
PDV 30159,2,24,CANAL 1,S
PDV 30170,2,24,CANAL 1,S
PDV 30185,2,24,CANAL 1,S
PDV 30133,2,24,CANAL 1,S
PDV 30360,2,24,CANAL 1,C
PDV 30344,2,24,CANAL 1,V
PDV 30038,2,24,CANAL 1,C
PDV 30040,2,24,CANAL 1,S
PDV 30061,2,24,CANAL 1,S
PDV 30057,2,24,CANAL 1,F
PDV 30058,2,24,CANAL 1,C
PDV 30045,2,24,CANAL 1,C
PDV 30065,2,24,CANAL 1,S
PDV 30066,2,24,CANAL 1,S
PDV 30067,2,24,CANAL 1,S
PDV 30068,2,24,CANAL 1,S
PDV 30069,2,24,CANAL 1,S
PDV 30070,2,24,CANAL 1,S
PDV 30084,2,24,CANAL 1,S
PDV 30124,2,24,CANAL 1,S
PDV 29843,2,24,CANAL 1,S
PDV 31614,2,24,CANAL 1,S
PDV 31628,2,24,CANAL 1,S
PDV 31632,2,24,CANAL 1,S
PDV 31661,2,50,CANAL 1,S
PDV 31662,2,50,CANAL 1,C
PDV 31655,2,25,CANAL 1,C
PDV 40611,2,24,CANAL 1,C
PDV 31518,2,24,CANAL 1,S
PDV 31512,2,24,CANAL 1,S
PDV 31491,2,24,CANAL 1,S
PDV 31443,2,45,CANAL 1,S
PDV 31403,2,24,CANAL 1,I
PDV 31222,2,24,CANAL 1,S
PDV 31349,2,1497,CANAL 1,S
PDV 31311,2,24,CANAL 1,R
PDV 31366,2,50,CANAL 1,S
PDV 31373,2,50,CANAL 1,S
PDV 31307,2,62,CANAL 1,S
PDV 40622,2,1609,CANAL 1,C
PDV 40635,2,24,CANAL 1,D
PDV 42114,2,24,CANAL 1,B
PDV 41628,2,24,CANAL 1,F
PDV 40686,2,24,CANAL 1,C
PDV 41755,2,24,CANAL 1,C
PDV 41053,2,24,CANAL 1,T
PDV 41806,2,24,CANAL 1,C
PDV 42626,2,24,CANAL 1,D
PDV 40764,2,24,CANAL 1,C
PDV 41094,2,24,CANAL 1,C
PDV 40738,2,24,CANAL 1,C
PDV 40766,2,24,CANAL 1,H
PDV 40719,2,24,CANAL 1,C
PDV 41249,2,24,CANAL 1,C
PDV 33258,2,1499,CANAL 1,J
PDV 5900,2,24,CANAL 1,NULL
PDV 33227,2,24,CANAL 1,V
PDV 33230,2,24,CANAL 1,V
PDV 33176,2,24,CANAL 1,F
PDV 33446,2,1499,CANAL 1,C
PDV 33183,2,24,CANAL 1,B
PDV 33441,2,24,CANAL 1,C
PDV 33417,2,24,CANAL 1,B
PDV 33450,2,1499,CANAL 1,V
PDV 33488,2,24,CANAL 1,C
PDV 5431,2,24,CANAL 1,NULL
PDV 5441,2,25,CANAL 1,NULL
PDV 5447,2,24,CANAL 1,NULL
PDV 33360,2,24,CANAL 1,F
PDV 33348,2,24,CANAL 1,V
PDV 5610,2,24,CANAL 1,NULL
PDV 33331,2,24,CANAL 1,V
PDV 40439,2,24,CANAL 1,P
PDV 40440,2,24,CANAL 1,C
PDV 4628,2,24,CANAL 5,NULL
PDV 4629,2,24,CANAL 1,NULL
PDV 40329,2,24,CANAL 1,B
PDV 33738,2,24,CANAL 1,C
PDV 36710,2,1499,CANAL 1,F
PDV 36711,2,1499,CANAL 1,F
PDV 33527,2,24,CANAL 1,A
PDV 5198,2,24,CANAL 1,NULL
PDV 5242,2,24,CANAL 1,NULL
PDV 5241,2,24,CANAL 1,NULL
PDV 5261,2,24,CANAL 1,NULL
PDV 5112,2,24,CANAL 1,NULL
PDV 5041,2,24,CANAL 1,NULL
PDV 33636,2,24,CANAL 1,C
PDV 6777,2,24,CANAL 1,NULL
PDV 6867,2,24,CANAL 1,NULL
PDV 33646,2,45,CANAL 1,C
PDV 6632,2,24,CANAL 5,NULL
PDV 6644,2,24,CANAL 1,NULL
PDV 33107,2,24,CANAL 1,V
PDV 33134,2,24,CANAL 1,V
PDV 6570,2,24,CANAL 1,D
PDV 33155,2,24,CANAL 1,V
PDV 6601,2,24,CANAL 5,NULL
PDV 6547,2,1503,CANAL 1,NULL
PDV 7198,2,24,CANAL 1,NULL
PDV 7196,2,24,CANAL 1,NULL
PDV 7191,2,24,CANAL 1,NULL
PDV 32971,2,24,CANAL 1,C
PDV 33004,2,24,CANAL 1,C
PDV 7493,2,24,CANAL 1,NULL
PDV 7494,2,24,CANAL 1,NULL
PDV 7509,2,24,CANAL 1,NULL
PDV 7486,2,24,CANAL 1,NULL
PDV 7491,2,24,CANAL 1,NULL
PDV 7488,2,24,CANAL 1,NULL
PDV 7489,2,24,CANAL 1,NULL
PDV 7397,2,24,CANAL 1,NULL
PDV 7398,2,24,CANAL 1,NULL
PDV 7400,2,24,CANAL 1,NULL
PDV 7401,2,24,CANAL 1,NULL
PDV 7435,2,24,CANAL 5,NULL
PDV 7412,2,24,CANAL 5,NULL
PDV 7418,2,25,CANAL 1,NULL
PDV 32925,2,24,CANAL 1,T
PDV 7297,2,24,CANAL 1,NULL
PDV 7304,2,25,CANAL 5,NULL
PDV 32922,2,1493,CANAL 1,B
PDV 32928,2,24,CANAL 1,R
PDV 8297,2,24,CANAL 1,NULL
PDV 39108,2,1225,CANAL 1,C
PDV 39264,2,1227,CANAL 1,B
PDV 3559,2,1227,CANAL 1,D
PDV 3576,2,1169,CANAL 3,NULL
PDV 3579,2,1157,CANAL 1,D
PDV 34134,2,1157,CANAL 1,P
PDV 39303,2,1225,CANAL 1,B
PDV 39314,2,1227,CANAL 1,B
PDV 117980,2,42,CANAL 1,A
PDV 34050,2,1149,CANAL 1,C
PDV 39313,2,1227,CANAL 1,S
PDV 39558,2,1149,CANAL 1,C
PDV 39562,2,1157,CANAL 1,F
PDV 39663,2,24,CANAL 1,H
PDV 39658,2,1171,CANAL 1,F
PDV 40208,2,1223,CANAL 1,F
PDV 39412,2,1225,CANAL 1,C
PDV 39338,2,1225,CANAL 1,C
PDV 39209,2,1227,CANAL 1,A
PDV 39471,2,1149,CANAL 1,P
PDV 39386,3,1297,CANAL 1,C
PDV 39387,3,1297,CANAL 1,C
PDV 50805,2,1169,CANAL 1,M
PDV 34107,2,1157,CANAL 1,R
PDV 34174,2,1223,CANAL 1,M
PDV 39019,2,1227,CANAL 1,A
PDV 38582,2,1157,CANAL 1,C
PDV 97716,2,1149,CANAL 1,M
PDV 97726,2,1225,CANAL 1,T
PDV 39047,2,1225,CANAL 1,C
PDV 3327,2,690,CANAL 1,D
PDV 3326,2,1157,CANAL 1,D
PDV 34237,2,1149,CANAL 1,C
PDV 39202,3,1297,CANAL 1,C
PDV 39208,2,1149,CANAL 1,C
PDV 3418,2,1157,CANAL 3,D
PDV 3387,2,1225,CANAL 1,D
PDV 39139,2,1225,CANAL 1,D
PDV 38601,2,1157,CANAL 1,A
PDV 40155,2,1157,CANAL 1,F
PDV 4162,2,1169,CANAL 1,NULL
PDV 4194,2,1149,CANAL 1,NULL
PDV 39744,2,1227,CANAL 1,F
PDV 33835,2,1223,CANAL 1,C
PDV 33831,2,1227,CANAL 1,B
PDV 40154,2,1157,CANAL 1,F
PDV 4213,2,1169,CANAL 1,F
PDV 4142,2,1149,CANAL 1,F
PDV 39816,2,865,CANAL 1,C
PDV 4111,2,1157,CANAL 1,F
PDV 39845,2,1223,CANAL 1,C
PDV 33884,2,1225,CANAL 1,C
PDV 33879,2,42,CANAL 5,F
PDV 33871,2,1225,CANAL 1,V
PDV 40014,2,1225,CANAL 1,T
PDV 4228,2,1161,CANAL 1,NULL
PDV 33873,2,1149,CANAL 1,C
PDV 40236,2,1225,CANAL 1,V
PDV 33772,3,1297,CANAL 1,C
PDV 33762,2,1227,CANAL 1,C
PDV 36945,2,1161,CANAL 1,C
PDV 39776,2,1223,CANAL 1,C
PDV 33766,2,1223,CANAL 1,C
PDV 40287,2,1167,CANAL 1,C
PDV 40009,2,1225,CANAL 1,C
PDV 39686,2,1225,CANAL 1,C
PDV 40257,2,1153,CANAL 1,F
PDV 40200,2,1225,CANAL 1,M
PDV 33894,2,1157,CANAL 1,V
PDV 39797,2,1227,CANAL 1,F
PDV 4031,2,1157,CANAL 1,NULL
PDV 39847,2,1223,CANAL 1,D
PDV 39838,2,1227,CANAL 1,C
PDV 4023,2,1157,CANAL 1,F
PDV 4024,2,1171,CANAL 1,F
PDV 39625,2,1225,CANAL 1,C
PDV 39970,2,1149,CANAL 1,C
PDV 39909,2,1157,CANAL 1,C
PDV 39508,2,1149,CANAL 1,C
PDV 39498,2,1161,CANAL 1,B
PDV 39851,2,1163,CANAL 1,C
PDV 33923,2,1225,CANAL 1,M
PDV 33932,2,1223,CANAL 1,C
PDV 39856,2,1223,CANAL 1,M
PDV 40073,2,1223,CANAL 1,H
PDV 39569,2,1225,CANAL 1,C
PDV 3837,2,1163,CANAL 1,D
PDV 39561,2,1157,CANAL 1,F
PDV 33969,2,1799,CANAL 1,C
PDV 35090,2,1161,CANAL 1,L
PDV 35072,2,1167,CANAL 1,C
PDV 36417,2,42,CANAL 1,C
PDV 35211,2,1223,CANAL 1,C
PDV 35095,2,1161,CANAL 1,V
PDV 35613,2,1169,CANAL 1,C
PDV 35120,2,1149,CANAL 1,C
PDV 35124,2,1149,CANAL 1,C
PDV 35108,2,1149,CANAL 1,C
PDV 35110,2,1149,CANAL 1,C
PDV 35353,2,24,CANAL 1,C
PDV 35420,2,1227,CANAL 1,A
PDV 50674,2,1225,CANAL 1,M
PDV 33530,2,1225,CANAL 1,M
PDV 44458,2,1167,CANAL 1,F
PDV 44075,2,1157,CANAL 1,C
PDV 44095,2,1225,CANAL 1,D
PDV 44135,2,1157,CANAL 1,F
PDV 44392,2,1223,CANAL 1,D
PDV 44145,2,1157,CANAL 1,F
PDV 44146,2,1157,CANAL 1,F
PDV 44154,2,1227,CANAL 1,C
PDV 44121,2,1149,CANAL 1,F
PDV 43003,2,1223,CANAL 1,M
PDV 43016,2,1227,CANAL 5,F
PDV 43017,2,1227,CANAL 5,F
PDV 43018,2,1225,CANAL 5,F
PDV 42953,2,1157,CANAL 1,C
PDV 42983,2,865,CANAL 1,C
PDV 42991,2,1225,CANAL 1,D
PDV 34846,2,1223,CANAL 1,V
PDV 35258,2,1163,CANAL 1,V
PDV 40844,2,1149,CANAL 1,D
PDV 40857,2,1634,CANAL 1,F
PDV 43387,3,1255,CANAL 1,D
PDV 44218,2,1227,CANAL 1,D
PDV 44232,2,1157,CANAL 1,D
PDV 32260,2,1223,CANAL 1,V
PDV 32602,2,1169,CANAL 1,V
PDV 32831,2,1225,CANAL 1,F
PDV 41707,2,1157,CANAL 1,A
PDV 41708,2,1225,CANAL 1,F
PDV 99789,2,42,CANAL 5,F
PDV 99561,2,1225,CANAL 1,C
PDV 119326,2,1149,CANAL 1,A
PDV 99489,2,1161,CANAL 1,F
PDV 99497,2,1227,CANAL 5,F
PDV 99498,2,1227,CANAL 1,F
PDV 99359,2,1227,CANAL 1,C
PDV 99383,2,1149,CANAL 1,I
PDV 99325,2,1225,CANAL 1,D
PDV 99121,2,1227,CANAL 1,S
PDV 99128,2,1157,CANAL 5,F
PDV 99134,2,1227,CANAL 1,S
PDV 99424,2,42,CANAL 1,D
PDV 99385,2,1149,CANAL 1,S
PDV 99492,2,1151,CANAL 5,F
PDV 99481,2,1151,CANAL 5,F
PDV 99486,2,1225,CANAL 1,D
PDV 100658,2,1227,CANAL 1,F
PDV 100811,2,1227,CANAL 1,D
PDV 100624,2,1225,CANAL 1,P
PDV 100576,3,1297,CANAL 1,L
PDV 100552,2,1161,CANAL 1,D
PDV 100384,2,1225,CANAL 1,D
PDV 100548,2,1161,CANAL 1,S
PDV 100566,3,1297,CANAL 1,F
PDV 104118,2,1227,CANAL 1,D
PDV 104043,2,1225,CANAL 1,B
PDV 104152,2,1227,CANAL 1,D
PDV 104126,2,1225,CANAL 1,D
PDV 104237,2,1169,CANAL 1,F
PDV 100678,2,1157,CANAL 1,F
PDV 101738,2,1157,CANAL 1,D
PDV 111731,2,1149,CANAL 1,F
PDV 111733,2,1149,CANAL 1,F
PDV 111778,2,1149,CANAL 1,F
PDV 111870,2,1223,CANAL 1,M
PDV 101528,2,1225,CANAL 1,F
PDV 101672,3,1261,CANAL 1,F
PDV 101659,2,1171,CANAL 5,F
PDV 101704,2,1161,CANAL 1,F
PDV 111745,2,1149,CANAL 1,F
PDV 111845,2,1227,CANAL 1,F
PDV 111856,2,1223,CANAL 1,M
PDV 103999,2,1161,CANAL 1,C
PDV 104123,2,1149,CANAL 1,F
PDV 104159,2,1171,CANAL 1,F
PDV 104013,2,1223,CANAL 1,D
PDV 101295,2,1149,CANAL 1,S
PDV 101323,2,1157,CANAL 1,B
PDV 101351,2,1225,CANAL 1,F
PDV 111408,2,1225,CANAL 1,F
PDV 111373,2,1157,CANAL 1,F
PDV 111427,2,1227,CANAL 1,F
PDV 111462,2,1161,CANAL 1,S
PDV 111346,2,1223,CANAL 1,S
PDV 111355,2,1225,CANAL 1,A
PDV 111354,2,1155,CANAL 1,B
PDV 98029,2,1225,CANAL 1,F
PDV 98049,2,1149,CANAL 5,F
PDV 98058,2,1227,CANAL 1,M
PDV 98071,2,1223,CANAL 1,A
PDV 98078,2,1149,CANAL 1,V
PDV 98077,2,1225,CANAL 1,C
PDV 98087,2,1225,CANAL 1,B
PDV 98039,2,1223,CANAL 1,M
PDV 98047,2,1223,CANAL 1,M
PDV 98031,2,1227,CANAL 1,F
PDV 97971,2,1163,CANAL 1,V
PDV 97989,2,1225,CANAL 1,S
PDV 92767,2,1161,CANAL 1,F
PDV 92998,2,1225,CANAL 1,D
PDV 93000,3,1297,CANAL 1,F
PDV 92921,2,1225,CANAL 1,A
PDV 93368,2,42,CANAL 1,C
PDV 93495,2,1169,CANAL 1,B
PDV 93507,2,1149,CANAL 1,F
PDV 93531,2,1167,CANAL 1,P
PDV 93396,2,1225,CANAL 1,I
PDV 111456,2,1161,CANAL 1,I
PDV 111550,2,1225,CANAL 1,F
PDV 111553,2,1227,CANAL 1,F
PDV 111588,2,1225,CANAL 1,A
PDV 111593,2,1225,CANAL 1,A
PDV 111610,2,1225,CANAL 1,B
PDV 111611,2,1225,CANAL 1,F
PDV 111625,2,1225,CANAL 1,D
PDV 93344,2,1157,CANAL 1,C
PDV 93555,2,1161,CANAL 1,P
PDV 95841,2,1223,CANAL 1,F
PDV 93690,2,1171,CANAL 1,D
PDV 95825,2,1171,CANAL 1,C
PDV 94470,2,1225,CANAL 1,D
PDV 94533,2,1171,CANAL 1,F
PDV 94522,2,1167,CANAL 1,T
PDV 94668,2,60,CANAL 1,D
PDV 94698,2,60,CANAL 1,D
PDV 94787,2,1822,CANAL 1,M
