ventas,cantidad,pdv,producto,fecha,categoria
12,00,5,PDV 48176,PRODUCTO 9,20220423,RECARGAS
2,00,2,PDV 34197,PRODUCTO 26,20230225,RECARGAS
23,00,9,PDV 45490,PRODUCTO 9,20220815,RECARGAS
1,00,1,PDV 95230,PRODUCTO 26,20230502,RECARGAS
1,00,1,PDV 57373,PRODUCTO 26,20220221,RECARGAS
14,00,2,PDV 36031,PRODUCTO 12,20220304,TVPAGA
7,00,1,PDV 92457,PRODUCTO 611,20230512,PRONOSTICOS
2,00,2,PDV 46909,PRODUCTO 1,20220101,RECARGAS
2,00,2,PDV 94281,PRODUCTO 9,20211019,RECARGAS
4,00,2,PDV 34192,PRODUCTO 6,20211114,RECARGAS
7,00,3,PDV 93750,PRODUCTO 26,20230421,RECARGAS
3,00,1,PDV 92430,PRODUCTO 1,20210718,RECARGAS
21,00,8,PDV 42874,PRODUCTO 9,20211004,RECARGAS
2,00,1,PDV 101349,PRODUCTO 26,20221203,RECARGAS
9,37,1,PDV 108899,PRODUCTO 147,20220704,RECAUDACION
2,00,2,PDV 112356,PRODUCTO 26,20230125,RECARGAS
15,00,6,PDV 45429,PRODUCTO 9,20230108,RECARGAS
3,00,2,PDV 114425,PRODUCTO 83,20230205,RECARGAS
14,22,1,PDV 107360,PRODUCTO 295,20230121,RECAUDACION
3,00,2,PDV 38760,PRODUCTO 6,20211026,RECARGAS
6,00,5,PDV 46956,PRODUCTO 6,20230102,RECARGAS
7,00,1,PDV 98095,PRODUCTO 12,20211129,TVPAGA
3,00,1,PDV 15896,PRODUCTO 26,20210907,RECARGAS
35,00,14,PDV 106970,PRODUCTO 9,20221207,RECARGAS
5,00,3,PDV 112018,PRODUCTO 6,20230426,RECARGAS
10,00,1,PDV 103574,PRODUCTO 12,20230423,TVPAGA
2,00,1,PDV 109891,PRODUCTO 9,20230218,RECARGAS
7,00,1,PDV 106567,PRODUCTO 27,20221110,RECARGAS
2,00,1,PDV 58187,PRODUCTO 26,20220310,RECARGAS
26,00,12,PDV 48124,PRODUCTO 9,20230705,RECARGAS
35,00,7,PDV 103189,PRODUCTO 27,20211228,RECARGAS
5,50,1,PDV 50270,PRODUCTO 545,20220725,JUEGOS
9,00,7,PDV 95387,PRODUCTO 9,20220331,RECARGAS
2,00,2,PDV 111719,PRODUCTO 26,20220814,RECARGAS
264,98,3,PDV 44305,PRODUCTO 38,20210902,RECAUDACION
3,00,1,PDV 104916,PRODUCTO 1,20211220,RECARGAS
105,00,57,PDV 33587,PRODUCTO 9,20210726,RECARGAS
12,00,2,PDV 101956,PRODUCTO 9,20230214,RECARGAS
1,00,1,PDV 118008,PRODUCTO 9,20230521,RECARGAS
43,00,11,PDV 21015,PRODUCTO 83,20210703,RECARGAS
1,00,1,PDV 13286,PRODUCTO 6,20221129,RECARGAS
68,50,1,PDV 44671,PRODUCTO 129,20230703,RECAUDACION
1,00,1,PDV 108755,PRODUCTO 26,20230206,RECARGAS
2,00,2,PDV 17874,PRODUCTO 26,20210815,RECARGAS
10,00,1,PDV 11515,PRODUCTO 12,20210909,TVPAGA
86,00,44,PDV 47484,PRODUCTO 9,20220802,RECARGAS
10,00,6,PDV 109824,PRODUCTO 9,20221102,RECARGAS
2,00,2,PDV 113970,PRODUCTO 26,20230710,RECARGAS
55,00,13,PDV 90025,PRODUCTO 9,20220624,RECARGAS
10,00,1,PDV 48244,PRODUCTO 12,20211021,TVPAGA
1,00,1,PDV 39362,PRODUCTO 9,20230712,RECARGAS
1,00,1,PDV 46167,PRODUCTO 9,20220825,RECARGAS
3,00,3,PDV 44723,PRODUCTO 9,20210705,RECARGAS
9,00,8,PDV 103352,PRODUCTO 9,20220804,RECARGAS
3,00,1,PDV 46771,PRODUCTO 26,20230714,RECARGAS
9,00,2,PDV 94515,PRODUCTO 545,20221212,JUEGOS
7,00,1,PDV 44767,PRODUCTO 27,20230729,RECARGAS
55,00,28,PDV 96266,PRODUCTO 9,20211004,RECARGAS
10,00,1,PDV 90041,PRODUCTO 27,20220613,RECARGAS
1,00,1,PDV 98770,PRODUCTO 1,20211114,RECARGAS
5,00,1,PDV 43536,PRODUCTO 83,20220219,RECARGAS
1,00,1,PDV 56945,PRODUCTO 27,20210819,RECARGAS
93,00,36,PDV 48297,PRODUCTO 9,20230429,RECARGAS
38,00,22,PDV 49231,PRODUCTO 9,20220706,RECARGAS
4,00,1,PDV 107438,PRODUCTO 26,20220816,RECARGAS
4,00,2,PDV 19862,PRODUCTO 6,20220710,RECARGAS
1,00,1,PDV 112546,PRODUCTO 83,20230221,RECARGAS
1,00,1,PDV 46982,PRODUCTO 83,20210924,RECARGAS
2,00,2,PDV 107163,PRODUCTO 9,20220627,RECARGAS
49,00,24,PDV 48437,PRODUCTO 9,20221017,RECARGAS
2,00,2,PDV 103992,PRODUCTO 26,20211125,RECARGAS
36,00,14,PDV 98153,PRODUCTO 9,20230312,RECARGAS
7,00,3,PDV 106061,PRODUCTO 83,20220221,RECARGAS
5,00,3,PDV 108670,PRODUCTO 9,20221112,RECARGAS
1,00,1,PDV 104660,PRODUCTO 83,20211205,RECARGAS
6,00,2,PDV 108636,PRODUCTO 9,20220515,RECARGAS
6,00,2,PDV 33314,PRODUCTO 27,20211214,RECARGAS
3,00,2,PDV 44923,PRODUCTO 83,20230321,RECARGAS
20,00,1,PDV 105991,PRODUCTO 27,20211019,RECARGAS
25,00,2,PDV 45364,PRODUCTO 12,20211223,TVPAGA
2,00,1,PDV 29644,PRODUCTO 27,20220403,RECARGAS
25,00,13,PDV 34221,PRODUCTO 9,20230310,RECARGAS
32,00,3,PDV 92755,PRODUCTO 12,20210724,TVPAGA
14,00,5,PDV 15781,PRODUCTO 9,20230504,RECARGAS
1,00,1,PDV 114589,PRODUCTO 83,20221124,RECARGAS
3,00,1,PDV 106583,PRODUCTO 6,20230716,RECARGAS
1,00,1,PDV 98887,PRODUCTO 27,20230212,RECARGAS
7,00,3,PDV 49703,PRODUCTO 26,20210902,RECARGAS
17,00,8,PDV 115049,PRODUCTO 9,20230106,RECARGAS
7,00,3,PDV 13365,PRODUCTO 6,20220710,RECARGAS
11,00,2,PDV 101798,PRODUCTO 27,20230217,RECARGAS
1,00,1,PDV 105653,PRODUCTO 6,20211212,RECARGAS
113,00,48,PDV 104428,PRODUCTO 9,20220602,RECARGAS
17,00,2,PDV 113613,PRODUCTO 27,20230310,RECARGAS
1,00,1,PDV 105195,PRODUCTO 1,20220207,RECARGAS
5,00,1,PDV 24523,PRODUCTO 9,20211221,RECARGAS
1,00,1,PDV 50117,PRODUCTO 6,20220602,RECARGAS
7,00,1,PDV 94856,PRODUCTO 12,20221026,TVPAGA
7,00,1,PDV 102924,PRODUCTO 83,20230715,RECARGAS
1,00,1,PDV 44604,PRODUCTO 83,20220326,RECARGAS
3,00,1,PDV 46380,PRODUCTO 6,20220624,RECARGAS
7,00,3,PDV 42893,PRODUCTO 9,20211025,RECARGAS
1,00,1,PDV 94999,PRODUCTO 26,20221229,RECARGAS
4,00,1,PDV 45380,PRODUCTO 26,20220723,RECARGAS
10,00,5,PDV 109456,PRODUCTO 9,20230112,RECARGAS
1,00,1,PDV 94972,PRODUCTO 6,20220312,RECARGAS
1,00,1,PDV 110683,PRODUCTO 27,20230731,RECARGAS
33,00,19,PDV 105631,PRODUCTO 9,20220523,RECARGAS
2,00,1,PDV 110022,PRODUCTO 9,20220928,RECARGAS
1,00,1,PDV 45855,PRODUCTO 83,20220215,RECARGAS
1,00,1,PDV 92464,PRODUCTO 83,20220722,RECARGAS
90,00,44,PDV 42921,PRODUCTO 9,20211213,RECARGAS
1,00,1,PDV 101626,PRODUCTO 1,20221114,RECARGAS
3,00,1,PDV 108409,PRODUCTO 6,20230710,RECARGAS
25,00,14,PDV 105800,PRODUCTO 9,20210911,RECARGAS
3,00,1,PDV 86268,PRODUCTO 83,20230225,RECARGAS
4,00,3,PDV 100003,PRODUCTO 1,20210707,RECARGAS
29,71,1,PDV 106308,PRODUCTO 140,20220203,RECAUDACION
5,00,3,PDV 40012,PRODUCTO 26,20230627,RECARGAS
7,00,7,PDV 51622,PRODUCTO 26,20220619,RECARGAS
1,00,1,PDV 109291,PRODUCTO 1,20220624,RECARGAS
1,00,1,PDV 44962,PRODUCTO 1,20220714,RECARGAS
68,00,20,PDV 49687,PRODUCTO 9,20210827,RECARGAS
11,00,2,PDV 101900,PRODUCTO 9,20230225,RECARGAS
10,00,1,PDV 25331,PRODUCTO 12,20230417,TVPAGA
2,00,1,PDV 52159,PRODUCTO 1,20211015,RECARGAS
3,00,3,PDV 34182,PRODUCTO 6,20220713,RECARGAS
46,00,16,PDV 47658,PRODUCTO 9,20230701,RECARGAS
2,00,1,PDV 101347,PRODUCTO 1,20230313,RECARGAS
13,00,10,PDV 46131,PRODUCTO 9,20220311,RECARGAS
36,00,20,PDV 51090,PRODUCTO 9,20220322,RECARGAS
6,00,3,PDV 101798,PRODUCTO 9,20210725,RECARGAS
5,00,1,PDV 50774,PRODUCTO 27,20220204,RECARGAS
3,00,1,PDV 99008,PRODUCTO 26,20210809,RECARGAS
5,00,1,PDV 98964,PRODUCTO 27,20211229,RECARGAS
4,00,2,PDV 47908,PRODUCTO 6,20220227,RECARGAS
11,00,3,PDV 39990,PRODUCTO 26,20211101,RECARGAS
2,00,2,PDV 114846,PRODUCTO 26,20221102,RECARGAS
5,00,3,PDV 106480,PRODUCTO 9,20220418,RECARGAS
3,00,1,PDV 105771,PRODUCTO 6,20220122,RECARGAS
14,62,1,PDV 105674,PRODUCTO 145,20220801,RECAUDACION
5,00,1,PDV 110396,PRODUCTO 26,20230316,RECARGAS
11,00,4,PDV 93550,PRODUCTO 26,20220819,RECARGAS
2,00,2,PDV 45398,PRODUCTO 83,20211029,RECARGAS
17,00,9,PDV 27892,PRODUCTO 6,20221223,RECARGAS
6,00,2,PDV 101656,PRODUCTO 83,20210706,RECARGAS
15,00,1,PDV 45722,PRODUCTO 234,20210806,RECAUDACION
1,00,1,PDV 100619,PRODUCTO 26,20220818,RECARGAS
12,00,4,PDV 59004,PRODUCTO 26,20210723,RECARGAS
56,00,29,PDV 11523,PRODUCTO 9,20230114,RECARGAS
3,00,1,PDV 104998,PRODUCTO 83,20221205,RECARGAS
5,00,3,PDV 96251,PRODUCTO 26,20210909,RECARGAS
10,00,1,PDV 108728,PRODUCTO 6,20230318,RECARGAS
1,00,1,PDV 111211,PRODUCTO 9,20230622,RECARGAS
3,00,1,PDV 105127,PRODUCTO 6,20230118,RECARGAS
1,00,1,PDV 46341,PRODUCTO 9,20210815,RECARGAS
16,94,3,PDV 110499,PRODUCTO 144,20230606,RECAUDACION
6,00,3,PDV 40588,PRODUCTO 26,20210907,RECARGAS
10,00,7,PDV 17643,PRODUCTO 9,20221228,RECARGAS
35,84,2,PDV 47170,PRODUCTO 145,20221003,RECAUDACION
11,00,5,PDV 98768,PRODUCTO 26,20230612,RECARGAS
7,00,1,PDV 114385,PRODUCTO 27,20230302,RECARGAS
2,00,1,PDV 48296,PRODUCTO 6,20211113,RECARGAS
18,00,2,PDV 109792,PRODUCTO 26,20230427,RECARGAS
6,00,2,PDV 42821,PRODUCTO 6,20210714,RECARGAS
2,00,2,PDV 102797,PRODUCTO 9,20210703,RECARGAS
4,00,2,PDV 112500,PRODUCTO 26,20221130,RECARGAS
9,00,3,PDV 100071,PRODUCTO 27,20220916,RECARGAS
8,00,3,PDV 108002,PRODUCTO 9,20220415,RECARGAS
10,57,1,PDV 100203,PRODUCTO 167,20210810,RECAUDACION
7,00,1,PDV 34262,PRODUCTO 27,20221020,RECARGAS
1,00,1,PDV 52323,PRODUCTO 27,20211122,RECARGAS
13,00,9,PDV 97752,PRODUCTO 9,20220830,RECARGAS
7,00,1,PDV 20844,PRODUCTO 27,20230425,RECARGAS
37,00,23,PDV 94063,PRODUCTO 9,20220302,RECARGAS
37,00,3,PDV 91783,PRODUCTO 27,20230114,RECARGAS
10,00,1,PDV 90452,PRODUCTO 27,20220312,RECARGAS
13,00,7,PDV 106062,PRODUCTO 9,20220312,RECARGAS
24,00,3,PDV 90015,PRODUCTO 27,20221109,RECARGAS
13,00,4,PDV 25847,PRODUCTO 26,20221012,RECARGAS
6,00,1,PDV 106762,PRODUCTO 12,20221126,TVPAGA
3,00,1,PDV 112648,PRODUCTO 26,20230228,RECARGAS
5,00,1,PDV 94972,PRODUCTO 12,20220402,TVPAGA
5,00,2,PDV 114214,PRODUCTO 1,20221221,RECARGAS
3,00,1,PDV 49680,PRODUCTO 6,20220129,RECARGAS
13,00,5,PDV 47258,PRODUCTO 6,20221127,RECARGAS
6,00,2,PDV 43706,PRODUCTO 27,20220206,RECARGAS
0,50,1,PDV 113381,PRODUCTO 1,20230412,RECARGAS
1,00,1,PDV 113881,PRODUCTO 1,20221028,RECARGAS
6,00,2,PDV 15896,PRODUCTO 83,20211104,RECARGAS
1,00,1,PDV 50536,PRODUCTO 26,20211212,RECARGAS
1,00,1,PDV 90086,PRODUCTO 1,20210906,RECARGAS
10,00,1,PDV 23325,PRODUCTO 12,20220601,TVPAGA
1,00,1,PDV 52359,PRODUCTO 83,20220506,RECARGAS
1,00,1,PDV 107570,PRODUCTO 83,20220725,RECARGAS
5,00,2,PDV 104946,PRODUCTO 26,20230310,RECARGAS
3,00,1,PDV 48926,PRODUCTO 1,20220209,RECARGAS
1,00,1,PDV 31133,PRODUCTO 83,20220620,RECARGAS
7,00,6,PDV 95167,PRODUCTO 9,20230724,RECARGAS
1,00,1,PDV 57794,PRODUCTO 26,20221008,RECARGAS
10,00,4,PDV 43917,PRODUCTO 83,20220819,RECARGAS
11,00,9,PDV 34576,PRODUCTO 9,20211023,RECARGAS
1,00,1,PDV 113553,PRODUCTO 27,20230208,RECARGAS
29,00,14,PDV 47612,PRODUCTO 9,20220908,RECARGAS
1,00,1,PDV 100327,PRODUCTO 83,20221028,RECARGAS
2,00,2,PDV 41521,PRODUCTO 83,20230224,RECARGAS
6,00,2,PDV 13273,PRODUCTO 6,20211210,RECARGAS
5,00,2,PDV 30486,PRODUCTO 545,20220903,JUEGOS
1,00,1,PDV 47329,PRODUCTO 1,20220626,RECARGAS
4,00,2,PDV 39679,PRODUCTO 26,20230519,RECARGAS
5,00,3,PDV 95245,PRODUCTO 9,20230308,RECARGAS
4,00,2,PDV 99433,PRODUCTO 6,20230404,RECARGAS
36,00,8,PDV 105664,PRODUCTO 9,20211005,RECARGAS
1,00,1,PDV 50686,PRODUCTO 83,20221220,RECARGAS
2,00,2,PDV 100571,PRODUCTO 26,20220804,RECARGAS
2,00,2,PDV 112738,PRODUCTO 83,20230604,RECARGAS
3,00,1,PDV 24066,PRODUCTO 6,20220531,RECARGAS
3,00,1,PDV 109483,PRODUCTO 9,20230310,RECARGAS
8,00,2,PDV 48803,PRODUCTO 27,20230618,RECARGAS
10,00,1,PDV 42997,PRODUCTO 12,20220710,TVPAGA
29,00,12,PDV 49615,PRODUCTO 26,20210710,RECARGAS
3,00,1,PDV 44576,PRODUCTO 6,20210714,RECARGAS
34,00,14,PDV 99572,PRODUCTO 9,20220516,RECARGAS
1,00,1,PDV 115100,PRODUCTO 6,20230711,RECARGAS
48,00,24,PDV 97458,PRODUCTO 9,20220907,RECARGAS
177,56,11,PDV 104237,PRODUCTO 144,20211215,RECAUDACION
5,00,1,PDV 94254,PRODUCTO 26,20220106,RECARGAS
2,00,1,PDV 113593,PRODUCTO 27,20230718,RECARGAS
5,00,1,PDV 52047,PRODUCTO 1,20220123,RECARGAS
5,00,1,PDV 48980,PRODUCTO 6,20210813,RECARGAS
37,00,12,PDV 100259,PRODUCTO 9,20220813,RECARGAS
37,00,11,PDV 96177,PRODUCTO 9,20221231,RECARGAS
3,00,1,PDV 104916,PRODUCTO 26,20230409,RECARGAS
3,00,3,PDV 113393,PRODUCTO 26,20221125,RECARGAS
5,00,4,PDV 100418,PRODUCTO 6,20210831,RECARGAS
1,00,1,PDV 110284,PRODUCTO 1,20220903,RECARGAS
112,00,41,PDV 15777,PRODUCTO 9,20220426,RECARGAS
8,00,5,PDV 112273,PRODUCTO 9,20221205,RECARGAS
1,00,1,PDV 99190,PRODUCTO 83,20230208,RECARGAS
4,00,2,PDV 56678,PRODUCTO 26,20220820,RECARGAS
74,00,36,PDV 105593,PRODUCTO 9,20221011,RECARGAS
2,00,1,PDV 100340,PRODUCTO 9,20221102,RECARGAS
3,00,1,PDV 116084,PRODUCTO 9,20221216,RECARGAS
4,00,2,PDV 92879,PRODUCTO 83,20211030,RECARGAS
3,00,1,PDV 45962,PRODUCTO 26,20210904,RECARGAS
2,00,2,PDV 113595,PRODUCTO 26,20230611,RECARGAS
5,00,1,PDV 54570,PRODUCTO 26,20220129,RECARGAS
1,00,1,PDV 106789,PRODUCTO 26,20211113,RECARGAS
19,92,1,PDV 101849,PRODUCTO 146,20210830,RECAUDACION
14,00,2,PDV 49717,PRODUCTO 27,20230626,RECARGAS
2,00,2,PDV 52170,PRODUCTO 1,20220726,RECARGAS
5,00,1,PDV 42856,PRODUCTO 9,20220104,RECARGAS
7,00,3,PDV 103595,PRODUCTO 6,20220308,RECARGAS
12,00,2,PDV 109382,PRODUCTO 6,20220629,RECARGAS
17,00,9,PDV 113374,PRODUCTO 26,20230513,RECARGAS
7,00,1,PDV 109817,PRODUCTO 27,20230609,RECARGAS
14,00,2,PDV 11265,PRODUCTO 27,20220503,RECARGAS
40,00,11,PDV 47986,PRODUCTO 9,20221006,RECARGAS
18,00,8,PDV 111935,PRODUCTO 9,20220822,RECARGAS
2,00,2,PDV 100393,PRODUCTO 26,20211010,RECARGAS
3,00,1,PDV 36484,PRODUCTO 6,20220131,RECARGAS
44,00,17,PDV 47908,PRODUCTO 9,20220706,RECARGAS
7,00,5,PDV 48652,PRODUCTO 6,20221020,RECARGAS
1,00,1,PDV 105787,PRODUCTO 27,20210820,RECARGAS
1,00,1,PDV 101247,PRODUCTO 27,20210912,RECARGAS
10,00,6,PDV 106417,PRODUCTO 9,20220305,RECARGAS
4,00,3,PDV 24080,PRODUCTO 1,20220103,RECARGAS
3,00,3,PDV 117109,PRODUCTO 26,20230701,RECARGAS
1,00,1,PDV 97282,PRODUCTO 6,20220920,RECARGAS
10,00,1,PDV 107604,PRODUCTO 27,20220306,RECARGAS
51,16,4,PDV 110499,PRODUCTO 568,20230106,RECAUDACION
7,00,1,PDV 105842,PRODUCTO 12,20230519,TVPAGA
3,00,1,PDV 42761,PRODUCTO 6,20220110,RECARGAS
68,00,27,PDV 33812,PRODUCTO 9,20230729,RECARGAS
1,00,1,PDV 31686,PRODUCTO 26,20220818,RECARGAS
2,00,2,PDV 107268,PRODUCTO 9,20230523,RECARGAS
5,00,1,PDV 111122,PRODUCTO 9,20220917,RECARGAS
66,00,6,PDV 46946,PRODUCTO 12,20211016,TVPAGA
13,86,1,PDV 45497,PRODUCTO 295,20221011,RECAUDACION
5,00,3,PDV 105856,PRODUCTO 26,20230314,RECARGAS
16,00,14,PDV 90544,PRODUCTO 83,20230331,RECARGAS
4,00,2,PDV 109044,PRODUCTO 26,20220924,RECARGAS
3,00,2,PDV 99880,PRODUCTO 83,20210823,RECARGAS
3,00,1,PDV 102548,PRODUCTO 6,20211213,RECARGAS
49,86,1,PDV 95120,PRODUCTO 157,20210719,RECAUDACION
3,00,1,PDV 99715,PRODUCTO 26,20211021,RECARGAS
7,00,1,PDV 93310,PRODUCTO 83,20221018,RECARGAS
8,00,4,PDV 48022,PRODUCTO 6,20230117,RECARGAS
14,01,1,PDV 109661,PRODUCTO 126,20221008,RECAUDACION
8,00,6,PDV 47529,PRODUCTO 27,20230309,RECARGAS
6,00,2,PDV 109194,PRODUCTO 6,20230408,RECARGAS
30,00,2,PDV 11513,PRODUCTO 12,20220402,TVPAGA
3,00,1,PDV 104085,PRODUCTO 83,20230723,RECARGAS
7,38,1,PDV 47235,PRODUCTO 422,20210807,RECAUDACION
3,87,1,PDV 106088,PRODUCTO 175,20230704,RECAUDACION
411,35,89,PDV 1592,PRODUCTO 1,20210911,RECARGAS
1,00,1,PDV 106630,PRODUCTO 83,20211107,RECARGAS
5,00,1,PDV 93662,PRODUCTO 27,20211027,RECARGAS
5,00,1,PDV 43598,PRODUCTO 12,20221010,TVPAGA
3,00,3,PDV 102554,PRODUCTO 9,20211004,RECARGAS
4,00,3,PDV 102897,PRODUCTO 9,20220812,RECARGAS
3,00,1,PDV 99842,PRODUCTO 6,20211018,RECARGAS
3,00,1,PDV 98817,PRODUCTO 6,20220419,RECARGAS
7,00,4,PDV 44335,PRODUCTO 9,20230217,RECARGAS
3,00,1,PDV 52236,PRODUCTO 1,20220624,RECARGAS
5,00,1,PDV 44064,PRODUCTO 6,20230328,RECARGAS
62,00,26,PDV 98022,PRODUCTO 9,20220418,RECARGAS
1,00,1,PDV 2393,PRODUCTO 26,20220226,RECARGAS
4,00,1,PDV 116729,PRODUCTO 27,20230711,RECARGAS
90,00,23,PDV 109058,PRODUCTO 26,20230701,RECARGAS
17,00,4,PDV 108822,PRODUCTO 27,20221117,RECARGAS
13,00,2,PDV 47258,PRODUCTO 6,20220326,RECARGAS
5,00,1,PDV 54734,PRODUCTO 1,20220722,RECARGAS
3,00,1,PDV 111147,PRODUCTO 9,20220722,RECARGAS
18,00,6,PDV 42261,PRODUCTO 26,20210727,RECARGAS
18,00,5,PDV 24768,PRODUCTO 6,20220625,RECARGAS
2,00,2,PDV 33315,PRODUCTO 83,20220829,RECARGAS
9,48,1,PDV 105694,PRODUCTO 295,20220629,RECAUDACION
1,00,1,PDV 92658,PRODUCTO 1,20220713,RECARGAS
107,49,2,PDV 108767,PRODUCTO 572,20230517,RECAUDACION
55,00,28,PDV 42760,PRODUCTO 9,20211031,RECARGAS
8,00,1,PDV 96148,PRODUCTO 26,20230112,RECARGAS
2,00,2,PDV 101445,PRODUCTO 9,20220315,RECARGAS
4,00,2,PDV 49221,PRODUCTO 27,20220922,RECARGAS
2,00,2,PDV 44433,PRODUCTO 6,20230624,RECARGAS
1,00,1,PDV 105856,PRODUCTO 83,20230106,RECARGAS
27,00,12,PDV 106384,PRODUCTO 9,20220920,RECARGAS
2,00,2,PDV 111644,PRODUCTO 9,20221228,RECARGAS
1,00,1,PDV 94154,PRODUCTO 6,20221004,RECARGAS
2,00,2,PDV 117196,PRODUCTO 6,20230628,RECARGAS
14,00,2,PDV 50304,PRODUCTO 27,20220919,RECARGAS
11,00,3,PDV 45575,PRODUCTO 27,20210726,RECARGAS
10,00,1,PDV 102485,PRODUCTO 26,20210805,RECARGAS
3,00,1,PDV 39171,PRODUCTO 1,20210816,RECARGAS
14,00,5,PDV 104632,PRODUCTO 26,20221026,RECARGAS
5,00,2,PDV 97943,PRODUCTO 26,20220126,RECARGAS
36,00,5,PDV 96348,PRODUCTO 83,20211201,RECARGAS
1,00,1,PDV 117494,PRODUCTO 6,20230506,RECARGAS
1,00,1,PDV 94244,PRODUCTO 1,20221211,RECARGAS
7,00,3,PDV 24442,PRODUCTO 9,20220929,RECARGAS
2,00,2,PDV 27296,PRODUCTO 1,20220211,RECARGAS
1,00,1,PDV 50992,PRODUCTO 9,20220528,RECARGAS
1,00,1,PDV 97737,PRODUCTO 26,20230208,RECARGAS
20,00,1,PDV 44920,PRODUCTO 12,20230314,TVPAGA
1,00,1,PDV 108952,PRODUCTO 26,20220221,RECARGAS
2,00,2,PDV 113604,PRODUCTO 27,20221017,RECARGAS
2,00,2,PDV 112180,PRODUCTO 9,20230225,RECARGAS
21,00,13,PDV 118114,PRODUCTO 9,20230708,RECARGAS
1,00,1,PDV 115324,PRODUCTO 6,20221221,RECARGAS
11,00,4,PDV 52078,PRODUCTO 26,20230220,RECARGAS
15,00,3,PDV 42811,PRODUCTO 83,20210817,RECARGAS
10,00,1,PDV 93539,PRODUCTO 12,20220522,TVPAGA
2,00,2,PDV 92781,PRODUCTO 26,20221021,RECARGAS
10,00,1,PDV 107360,PRODUCTO 26,20211024,RECARGAS
44,00,20,PDV 46042,PRODUCTO 9,20230115,RECARGAS
2,00,1,PDV 93006,PRODUCTO 26,20221210,RECARGAS
20,40,1,PDV 109661,PRODUCTO 161,20221006,RECAUDACION
5,00,1,PDV 45701,PRODUCTO 9,20220227,RECARGAS
1,00,1,PDV 114348,PRODUCTO 83,20221205,RECARGAS
4,00,2,PDV 106190,PRODUCTO 26,20220525,RECARGAS
25,00,10,PDV 41988,PRODUCTO 9,20220623,RECARGAS
1,00,1,PDV 58824,PRODUCTO 83,20220611,RECARGAS
4,00,2,PDV 99483,PRODUCTO 26,20220308,RECARGAS
29,99,1,PDV 27961,PRODUCTO 148,20220426,RECAUDACION
7,00,7,PDV 105754,PRODUCTO 9,20220805,RECARGAS
2,00,1,PDV 96268,PRODUCTO 27,20210828,RECARGAS
28,00,12,PDV 97469,PRODUCTO 26,20220330,RECARGAS
7,00,3,PDV 44604,PRODUCTO 1,20220927,RECARGAS
